                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds 
                                    1000                                     1875                  4.5000000000000001E-001                  2.0000000000000000E-002                  7.6188073661488438E+008                  1.6404416395588446E+003                  4.0364365257477602E+003                  2.2525883516741078E+003                  9.7185953192548652E+001                  1.4325368163981235E+001                  1.0000000000000595E-099                  1.0000500757450418E-099                  2.3605601449213064E-027                  3.7170460268468464E-001                  1.0001168434047171E-099                  6.0673299443804096E-001                  1.7100047289814756E-002                  4.2594036830744200E+000                  5.0000000000000009E-009                  2.7108069181973238E+000                  2.6144461236033979E-004                  9.2296048592384861E-001                  2.4364814185231132E-001                  5.5495288380469632E-003                  3.4631051076886105E-001                  1.3649504731763457E-002                  6.1081665948447694E-001                  5.5071770866982883E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2593233618054018E+000                  9.6728795025400444E+001                  4.2593044673764275E+000                  9.6636567957374481E+001                  4.6479817941731857E+006                  1.9453233987357496E+003                  1.8908930608243898E+007                  2.1144271599205449E+003                  5.2257848829342561E+002                  1.1410693284844540E+003                  9.5072473021409365E+001                  5.0000000000000000E+001                  1.0000000000000000E+003                  2.4043546556012924E+016 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals 
                                       1                  4.2594036830744200E+000                  1.9876034985496418E+000                  3.6059981304882291E+000                 -8.2879177525094274E+000                  3.1417776015210155E+000                  7.4337573424536285E-001                  2.4244261077353671E-001                  1.4181654981100467E-002 
                                       2                  4.2594036830707926E+000                  1.9876034983932804E+000                  3.6059981415812805E+000                 -8.2879176747594876E+000                  3.1417776903680754E+000                  7.4337573424536241E-001                  2.4244261077353724E-001                  1.4181654981100356E-002 
                                       3                  4.2594036830611586E+000                  1.9876034979779853E+000                  3.6059981766280944E+000                 -8.2879174291205349E+000                  3.1417779710666949E+000                  7.4337573424536152E-001                  2.4244261077353799E-001                  1.4181654981100467E-002 
                                       4                  4.2594036830288982E+000                  1.9876034965872122E+000                  3.6059982464851488E+000                 -8.2879169395016081E+000                  3.1417785305682973E+000                  7.4337573424536074E-001                  2.4244261077353874E-001                  1.4181654981100467E-002 
                                       5                  4.2594036829776512E+000                  1.9876034943780445E+000                  3.6059983756491407E+000                 -8.2879160342109994E+000                  3.1417795650702742E+000                  7.4337573424535974E-001                  2.4244261077353979E-001                  1.4181654981100467E-002 
                                       6                  4.2594036828744946E+000                  1.9876034899310275E+000                  3.6059985482393055E+000                 -8.2879148245595839E+000                  3.1417809473751648E+000                  7.4337573424535863E-001                  2.4244261077354082E-001                  1.4181654981100578E-002 
                                       7                  4.2594036827713362E+000                  1.9876034854840245E+000                  3.6059988252191966E+000                 -8.2879128832737958E+000                  3.1417831657424569E+000                  7.4337573424535697E-001                  2.4244261077354240E-001                  1.4181654981100689E-002 
                                       8                  4.2594036825433923E+000                  1.9876034756576233E+000                  3.6059992873183222E+000                 -8.2879096445726876E+000                  3.1417868667122471E+000                  7.4337573424535575E-001                  2.4244261077354370E-001                  1.4181654981100578E-002 
                                       9                  4.2594036822189452E+000                  1.9876034616712444E+000                  3.6060000180517986E+000                 -8.2879045232007744E+000                  3.1417927190858395E+000                  7.4337573424535408E-001                  2.4244261077354509E-001                  1.4181654981100800E-002 
