                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds 
                                     400                                     1199                  5.9999999999999998E-001                  2.0000000000000000E-002                  1.2518093098399656E+010                  4.7065950145528160E+007                  3.1306585984437388E+003                  1.2537360044434774E-005                  1.2052869811469019E-002                  6.5381128946440722E+003                  1.0118715375979180E-073                  1.5423971471151891E-099                  1.3430042911786253E-028                  3.2867290609934385E-001                  3.0981735710520294E-046                  6.4575526559737029E-001                  1.8544850793978519E-003                  6.0799031845424589E-001                  0.0000000000000000E+000                  5.7611181434859711E-005                  2.0055897668126191E-006                  1.3015687083745833E-002                  2.4995440180657663E-001                  1.5479361990540047E-005                  3.2938084687067659E-001                  1.1274121799594889E-003                  6.0786219531255359E-001                  5.8196263546424665E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.0799031845380513E-001                  1.2052846711679386E-002                  1.6991078173621979E+001                  5.7421733970185648E+013                  4.8494285583201981E+014                  2.1048341837598253E-012                  2.1048341837598253E-012                  0.0000000000000000E+000                  1.6169991765336047E-013                  5.0000000000000000E+001                  1.0000000000000000E+003                  3.9504785951297165E+017 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                                     logE                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                            zbar_div_abar                           eosPC_fraction 
                                       1                  6.0799031845424589E-001                 -1.9189095344256311E+000                  3.6388829532782903E+000                 -1.3464390793803513E+000                  9.9183234431315732E+000                  1.1674780408285301E+001                  6.8851721887623452E-001                  2.9101404037929623E-001                  2.0468740744469249E-002                  8.4425361784540665E-001                  0.0000000000000000E+000 
                                       2                  6.0799031845423868E-001                 -1.9189095528526483E+000                  3.6406733084225307E+000                 -1.3398511808076439E+000                  9.9278560103733682E+000                  1.1677330003574127E+001                  6.8851721887623452E-001                  2.9101404037929623E-001                  2.0468740744469249E-002                  8.4425361784540665E-001                  0.0000000000000000E+000 
                                       3                  6.0799031845423157E-001                 -1.9189095710022539E+000                  3.6424232966407253E+000                 -1.3334154788124206E+000                  9.9371838297300936E+000                  1.1679823834238547E+001                  6.8851721887623452E-001                  2.9101404037929623E-001                  2.0468740744469249E-002                  8.4425361784540665E-001                  0.0000000000000000E+000 
                                       4                  6.0799031845422447E-001                 -1.9189095888848906E+000                  3.6441348280325103E+000                 -1.3271254985630805E+000                  9.9463155120565379E+000                  1.1682264545979439E+001                  6.8851721887623452E-001                  2.9101404037929623E-001                  2.0468740744469249E-002                  8.4425361784540665E-001                  0.0000000000000000E+000 
                                       5                  6.0799031845421725E-001                 -1.9189096065103974E+000                  3.6457512620164430E+000                 -1.3211873922728055E+000                  9.9549496839830081E+000                  1.1684571131340364E+001                  6.8851721887623452E-001                  2.9101404037929623E-001                  2.0468740744469249E-002                  8.4425361784540665E-001                  0.0000000000000000E+000 
                                       6                  6.0799031845421070E-001                 -1.9189096226814224E+000                  3.6472157047127371E+000                 -1.3158119529245411E+000                  9.9627775943836117E+000                  1.1686662033383412E+001                  6.8851721887623452E-001                  2.9101404037929623E-001                  2.0468740744469249E-002                  8.4425361784540665E-001                  0.0000000000000000E+000 
                                       7                  6.0799031845420459E-001                 -1.9189096373335310E+000                  3.6491330156287978E+000                 -1.3088083515413331E+000                  9.9730011868992694E+000                  1.1689401188781646E+001                  6.8851721887623452E-001                  2.9101404037929623E-001                  2.0468740744469249E-002                  8.4425361784540665E-001                  0.0000000000000000E+000 
                                       8                  6.0799031845419371E-001                 -1.9189096630994198E+000                  3.6510471328036340E+000                 -1.3017803323237436E+000                  9.9832682958168206E+000                  1.1692137577729675E+001                  6.8851721887623452E-001                  2.9101404037929623E-001                  2.0468740744469249E-002                  8.4425361784540665E-001                  0.0000000000000000E+000 
                                       9                  6.0799031845418716E-001                 -1.9189096784018480E+000                  3.6531156943574481E+000                 -1.2942508443616438E+000                  9.9943059163608918E+000                  1.1695096702706151E+001                  6.8851721887623452E-001                  2.9101404037929623E-001                  2.0468740744469249E-002                  8.4425361784540665E-001                  0.0000000000000000E+000 
