                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds 
                                     420                                     3081                  1.0000000000000000E+002                  2.0000000000000000E-002                  2.9245486589451861E+006                  1.2443548542762136E-005                  7.0476478178378738E+003                  6.4255246330915084E+006                  1.7026475027514064E+003                 -2.0235607513265377E+000                  0.0000000000000000E+000                  2.8947048298994732E-039                  5.7043869436181379E-012                  1.8302946675553385E-002                  3.4931611237922785E-010                  8.0340590046379257E-001                  1.5626077922151810E-001                  1.0000000000000000E+002                  0.0000000000000000E+000                  2.4766231683197677E+001                  4.9906037284372362E-004                  3.2876594569919924E+001                  3.6383978517971927E+000                  3.6446116192296912E-001                  3.3958906771334817E+001                  3.2949033934673242E+000                  5.4075683203689508E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998288911160827E+001                  1.6835195131582718E+003                  9.9990605713822845E+001                  1.6380499627836468E+003                  7.0342968237618268E+007                  2.1455873518872107E+001                  1.5562931544141800E+005                  2.8486461053050842E+009                  2.7317839020853087E+007                  1.1813801371773427E+009                  1.2416831467512825E+010                  5.0000000000000000E+001                  1.0000000000000000E+003                  9.2293345214498250E+013 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                                     logE                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals 
                                       1                  1.0000000000000000E+002                  3.2311247457572945E+000                  3.8480523385712444E+000                 -1.7036475365627798E+001                  7.9394154950177587E-001                  1.8307539838919773E+001                  5.7162185273286326E-001                  4.0858863016920938E-001                  1.9789517097927423E-002 
                                       2                  9.9999999999949992E+001                  3.2308999071089803E+000                  3.8480523546516903E+000                 -1.5166607701917707E+001                  7.9397562779917130E-001                  1.6437825313010983E+001                  5.7162185273286314E-001                  4.0858863016920938E-001                  1.9789517097927423E-002 
                                       3                  9.9999999999827253E+001                  3.2308924533690075E+000                  3.8480523775167526E+000                 -1.4833099155678092E+001                  7.9401551614173760E-001                  1.6104495780505378E+001                  5.7162185273286314E-001                  4.0858863016920943E-001                  1.9789517097927423E-002 
                                       4                  9.9999999999704499E+001                  3.2308889949145567E+000                  3.8480524093171917E+000                 -1.4354559987783594E+001                  7.9416450839144315E-001                  1.5626624364243566E+001                  5.7162185273286303E-001                  4.0858863016920954E-001                  1.9789517097927423E-002 
                                       5                  9.9999999999485581E+001                  3.2308869454156599E+000                  3.8480524500476601E+000                 -1.3597813724790356E+001                  7.9520010389632911E-001                  1.4874451502939511E+001                  5.7162185273286270E-001                  4.0858863016920982E-001                  1.9789517097927423E-002 
                                       6                  9.9999999999266649E+001                  3.2308865865721970E+000                  3.8480525110943118E+000                 -1.3357005302412311E+001                  7.9611023718286500E-001                  1.4637566158213145E+001                  5.7162185273286215E-001                  4.0858863016921038E-001                  1.9789517097927423E-002 
                                       7                  9.9999999998828812E+001                  3.2308861743534214E+000                  3.8480526089800282E+000                 -1.3072190551454158E+001                  7.9803495135386737E-001                  1.4360777774098768E+001                  5.7162185273286070E-001                  4.0858863016921182E-001                  1.9789517097927423E-002 
                                       8                  9.9999999998216566E+001                  3.2308858751807552E+000                  3.8480527231920223E+000                 -1.2895930274838364E+001                  7.9996900901358226E-001                  1.4192249941698959E+001                  5.7162185273285804E-001                  4.0858863016921443E-001                  1.9789517097927534E-002 
                                       9                  9.9999999997604334E+001                  3.2308856758095725E+000                  3.8480528933630773E+000                 -1.2721682176776449E+001                  8.0272733162636567E-001                  1.4028528713556122E+001                  5.7162185273285304E-001                  4.0858863016921948E-001                  1.9789517097927423E-002 
