                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals 
                                      33                  7.5350872199823560E-001                  2.2444209323399096E+000                  3.4877092541356514E+000                 -8.5650271461361029E+000                  2.7137970298191845E+000                  6.7865041387347880E-001                  3.0127511122485512E-001                  2.0074474901666139E-002 
                                      34                  7.5349237820422565E-001                  2.2441945099150113E+000                  3.4886788491323095E+000                 -8.5586150446346707E+000                  2.7212759473177024E+000                  6.7865041387347869E-001                  3.0127511122485512E-001                  2.0074474901666139E-002 
                                      35                  7.5348347783166092E-001                  2.2440728675736814E+000                  3.4894514179463267E+000                 -8.5535785184079440E+000                  2.7271613442034233E+000                  6.7865041387347869E-001                  3.0127511122485523E-001                  2.0074474901666139E-002 
                                      36                  7.5347222719858875E-001                  2.2439207330857611E+000                  3.4904288554062011E+000                 -8.5472973916719077E+000                  2.7345148480877364E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                      37                  7.5345794878733330E-001                  2.2437302030445174E+000                  3.4916696022533649E+000                 -8.5394716508975748E+000                  2.7436991506673096E+000                  6.7865041387347869E-001                  3.0127511122485523E-001                  2.0074474901666139E-002 
                                      38                  7.5343978544416823E-001                  2.2434918081270698E+000                  3.4930867576226272E+000                 -8.5307371133523393E+000                  2.7539815836220596E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                      39                  7.5342088529452933E-001                  2.2432482768220221E+000                  3.4942477500875220E+000                 -8.5237463698963882E+000                  2.7622374975676016E+000                  6.7865041387347869E-001                  3.0127511122485523E-001                  2.0074474901666139E-002 
                                      40                  7.5340945226337752E-001                  2.2431031180569110E+000                  3.4950555793428215E+000                 -8.5189684251398141E+000                  2.7678943123384356E+000                  6.7865041387347869E-001                  3.0127511122485523E-001                  2.0074474901666139E-002 
                                      41                  7.5339979398211221E-001                  2.2429817222687025E+000                  3.4962174088469720E+000                 -8.5122183652155385E+000                  2.7759064458152052E+000                  6.7865041387347869E-001                  3.0127511122485523E-001                  2.0074474901666139E-002 
                                      42                  7.5337913867358053E-001                  2.2427257744876776E+000                  3.4973861908240798E+000                 -8.5055897010739923E+000                  2.7838027998332615E+000                  6.7865041387347858E-001                  3.0127511122485523E-001                  2.0074474901666139E-002 
                                      43                  7.5336943704245640E-001                  2.2426072255776224E+000                  3.4981071223230127E+000                 -8.5015734179134412E+000                  2.7886000814684944E+000                  6.7865041387347869E-001                  3.0127511122485523E-001                  2.0074474901666139E-002 
                                      44                  7.5336044472548158E-001                  2.2424982700193872E+000                  3.4989873034265639E+000                 -8.4967461987583146E+000                  2.7943799456254310E+000                  6.7865041387347869E-001                  3.0127511122485523E-001                  2.0074474901666139E-002 
                                      45                  7.5334666078411727E-001                  2.2423329462165480E+000                  3.5001017658384743E+000                 -8.4907611534093395E+000                  2.8015700150841374E+000                  6.7865041387347869E-001                  3.0127511122485523E-001                  2.0074474901666139E-002 
                                      46                  7.5333172824527406E-001                  2.2421560885681542E+000                  3.5011210490960933E+000                 -8.4854125133450538E+000                  2.8080197056077578E+000                  6.7865041387347869E-001                  3.0127511122485523E-001                  2.0074474901666139E-002 
                                      47                  7.5332053573674251E-001                  2.2420250102370987E+000                  3.5022298398571130E+000                 -8.4797185732283697E+000                  2.8149101022409955E+000                  6.7865041387347869E-001                  3.0127511122485523E-001                  2.0074474901666139E-002 
                                      48                  7.5330341985468918E-001                  2.2418269476231649E+000                  3.5036367781013236E+000                 -8.4726962246902868E+000                  2.8234486472386946E+000                  6.7865041387347858E-001                  3.0127511122485523E-001                  2.0074474901666139E-002 
                                      49                  7.5328489149698841E-001                  2.2416156805630023E+000                  3.5050090057136187E+000                 -8.4660632159727633E+000                  2.8315580808856180E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                      50                  7.5326897812711946E-001                  2.2414367397799144E+000                  3.5062434235178257E+000                 -8.4602713355252170E+000                  2.8386758977849418E+000                  6.7865041387347869E-001                  3.0127511122485512E-001                  2.0074474901666139E-002 
                                      51                  7.5325417675987172E-001                  2.2412723131385288E+000                  3.5075685489149842E+000                 -8.4542329668728673E+000                  2.8461351251507638E+000                  6.7865041387347869E-001                  3.0127511122485512E-001                  2.0074474901666139E-002 
                                      52                  7.5323629424295424E-001                  2.2410761571861166E+000                  3.5089848393610237E+000                 -8.4479944219312078E+000                  2.8538893499079765E+000                  6.7865041387347869E-001                  3.0127511122485512E-001                  2.0074474901666139E-002 
                                      53                  7.5321966150810105E-001                  2.2408960784957785E+000                  3.5105115537863671E+000                 -8.4414997871174453E+000                  2.8620142454138446E+000                  6.7865041387347880E-001                  3.0127511122485512E-001                  2.0074474901666139E-002 
                                      54                  7.5319952202334561E-001                  2.2406809761535644E+000                  3.5121503135150838E+000                 -8.4348083193328307E+000                  2.8704515404867226E+000                  6.7865041387347880E-001                  3.0127511122485512E-001                  2.0074474901666139E-002 
                                      55                  7.5318081624268463E-001                  2.2404839611339598E+000                  3.5139190994413503E+000                 -8.4278826982924855E+000                  2.8792567440347980E+000                  6.7865041387347869E-001                  3.0127511122485512E-001                  2.0074474901666139E-002 
                                      56                  7.5315824400505926E-001                  2.2402496356687114E+000                  3.5158243756056011E+000                 -8.4207852539799823E+000                  2.8883737466249197E+000                  6.7865041387347880E-001                  3.0127511122485512E-001                  2.0074474901666139E-002 
                                      57                  7.5313727820305210E-001                  2.2400351826886453E+000                  3.5171778786858821E+000                 -8.4159747424543205E+000                  2.8946160294815453E+000                  6.7865041387347869E-001                  3.0127511122485512E-001                  2.0074474901666139E-002 
                                      58                  7.5312796163094331E-001                  2.2399408353886709E+000                  3.5183212933439494E+000                 -8.4120187236716255E+000                  2.8997796272184129E+000                  6.7865041387347869E-001                  3.0127511122485523E-001                  2.0074474901666139E-002 
                                      59                  7.5311191940755107E-001                  2.2397797095977436E+000                  3.5201368348429276E+000                 -8.4059865546473702E+000                  2.9077260939323781E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                      60                  7.5308840005636613E-001                  2.2395464254325974E+000                  3.5217386325786229E+000                 -8.4009572372609771E+000                  2.9144416018980199E+000                  6.7865041387347869E-001                  3.0127511122485523E-001                  2.0074474901666139E-002 
                                      61                  7.5307798908012002E-001                  2.2394442314516798E+000                  3.5230922319102058E+000                 -8.3968433477997824E+000                  2.9199780959360857E+000                  6.7865041387347869E-001                  3.0127511122485523E-001                  2.0074474901666139E-002 
                                      62                  7.5306005574815915E-001                  2.2392696910206102E+000                  3.5248796795244601E+000                 -8.3916677067504626E+000                  2.9270294192013147E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                      63                  7.5304142037614552E-001                  2.2390902472207461E+000                  3.5267813691185421E+000                 -8.3864490802689939E+000                  2.9342398801895269E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                      64                  7.5302210450058504E-001                  2.2389062414957239E+000                  3.5288090514933459E+000                 -8.3811975753001633E+000                  2.9416109381851911E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                      65                  7.5300203282726819E-001                  2.2387170904506815E+000                  3.5309757664825163E+000                 -8.3759267700139048E+000                  2.9491418021534987E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                      66                  7.5298123681050511E-001                  2.2385232211482209E+000                  3.5337802695931013E+000                 -8.3695647385841774E+000                  2.9584217472607151E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                      67                  7.5295077910181507E-001                  2.2382429520227980E+000                  3.5365773553103708E+000                 -8.3638275073820321E+000                  2.9670615143166694E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                      68                  7.5293264788328662E-001                  2.2380780463493766E+000                  3.5384758434292918E+000                 -8.3601863968117627E+000                  2.9726682727505152E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                      69                  7.5291877415758535E-001                  2.2379527911249197E+000                  3.5407699893334508E+000                 -8.3560225536373434E+000                  2.9792028717175500E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
