                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals 
                                       1                  8.2680968636891661E-001                  2.1456676853405567E+000                  3.5049356593829430E+000                 -8.4528880347361035E+000                  2.8445626825832857E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                       2                  8.2680968636850316E-001                  2.1456676853318131E+000                  3.5049356595408452E+000                 -8.4528880336408534E+000                  2.8445626838462648E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                       3                  8.2680968636681618E-001                  2.1456676852961283E+000                  3.5049356599973200E+000                 -8.4528880304746163E+000                  2.8445626874973797E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                       4                  8.2680968636243113E-001                  2.1456676852033789E+000                  3.5049356612504043E+000                 -8.4528880217828917E+000                  2.8445626975201574E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                       5                  8.2680968635014773E-001                  2.1456676849435596E+000                  3.5049356693764948E+000                 -8.4528879654181619E+000                  2.8445627625166012E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                       6                  8.2680968625433771E-001                  2.1456676829170092E+000                  3.5049356838820471E+000                 -8.4528878648038219E+000                  2.8445628785390609E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                       7                  8.2680968615719475E-001                  2.1456676808622572E+000                  3.5049357021992038E+000                 -8.4528877377512437E+000                  2.8445630250485290E+000                  6.7865041387347869E-001                  3.0127511122485523E-001                  2.0074474901666139E-002 
                                       8                  8.2680968601068294E-001                  2.1456676777632699E+000                  3.5049357304684072E+000                 -8.4528875416688329E+000                  2.8445632511591130E+000                  6.7865041387347869E-001                  3.0127511122485523E-001                  2.0074474901666139E-002 
                                       9                  8.2680968578115788E-001                  2.1456676729084010E+000                  3.5049357750530605E+000                 -8.4528872324186324E+000                  2.8445636077681202E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                      10                  8.2680968541761823E-001                  2.1456676652188924E+000                  3.5049358460209610E+000                 -8.4528867401685979E+000                  2.8445641754018278E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                      11                  8.2680968483714379E-001                  2.1456676529408423E+000                  3.5049359600768453E+000                 -8.4528859490524528E+000                  2.8445650876706523E+000                  6.7865041387347869E-001                  3.0127511122485512E-001                  2.0074474901666139E-002 
                                      12                  8.2680968390044973E-001                  2.1456676331281539E+000                  3.5049361452825942E+000                 -8.4528846644315347E+000                  2.8445665690211901E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                      13                  8.2680968237354535E-001                  2.1456676008315942E+000                  3.5049364483348455E+000                 -8.4528825624217152E+000                  2.8445689929397435E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                      14                  8.2680967986927234E-001                  2.1456675478623057E+000                  3.5049369457868167E+000                 -8.4528791120731945E+000                  2.8445729716925352E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                      15                  8.2680967575650421E-001                  2.1456674608714823E+000                  3.5049377625662630E+000                 -8.4528734469713971E+000                  2.8445795043949071E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                      16                  8.2680966900464914E-001                  2.1456673180620118E+000                  3.5049391061728046E+000                 -8.4528641281621741E+000                  2.8445902504109877E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                      17                  8.2680965788433158E-001                  2.1456670828592901E+000                  3.5049413325898304E+000                 -8.4528486873293929E+000                  2.8446080561883469E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                      18                  8.2680963939016683E-001                  2.1456666917074627E+000                  3.5049450635843318E+000                 -8.4528228142188286E+000                  2.8446378924301623E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                      19                  8.2680960825829486E-001                  2.1456660333047965E+000                  3.5049513689486069E+000                 -8.4527790955865569E+000                  2.8446883087209858E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                      20                  8.2680955552649493E-001                  2.1456649181943517E+000                  3.5049620238097750E+000                 -8.4527052389111166E+000                  2.8447734831147420E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                      21                  8.2680946655648513E-001                  2.1456630370610874E+000                  3.5049798641456205E+000                 -8.4525816292497620E+000                  2.8449160428620957E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                      22                  8.2680931829647031E-001                  2.1456599031701669E+000                  3.5050092568357427E+000                 -8.4523781271639731E+000                  2.8451507656460220E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                      23                  8.2680907580182050E-001                  2.1456547796212990E+000                  3.5050565733308483E+000                 -8.4520509212201187E+000                  2.8455282298905500E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                      24                  8.2680868949944619E-001                  2.1456466234035285E+000                  3.5051302779341036E+000                 -8.4515422018286444E+000                  2.8461152339779310E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                      25                  8.2680809693047530E-001                  2.1456341259191425E+000                  3.5052403014461011E+000                 -8.4507849997281301E+000                  2.8469892910758183E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                      26                  8.2680722965969178E-001                  2.1456158648017505E+000                  3.5053974284912370E+000                 -8.4497081755381842E+000                  2.8482329863365745E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                      27                  8.2680601500238926E-001                  2.1455903486463188E+000                  3.5056142125645859E+000                 -8.4482312541120788E+000                  2.8499401097759307E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                      28                  8.2680436290333648E-001                  2.1455557538482219E+000                  3.5059104697574508E+000                 -8.4462291038824002E+000                  2.8522568020783208E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                      29                  8.2680210777356578E-001                  2.1455087355912994E+000                  3.5063261322301513E+000                 -8.4434510130371656E+000                  2.8554761016588515E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                      30                  8.2679890100678577E-001                  2.1454422764866958E+000                  3.5069185298807284E+000                 -8.4395535291878048E+000                  2.8600021635331543E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                      31                  8.2679436472356382E-001                  2.1453490521484340E+000                  3.5078480409497845E+000                 -8.4335776558978601E+000                  2.8669637364129632E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                      32                  8.2678684301626315E-001                  2.1451964578106373E+000                  3.5088175060248945E+000                 -8.4275468234627038E+000                  2.8740220644147758E+000                  6.7865041387347869E-001                  3.0127511122485523E-001                  2.0074474901666139E-002 
                                      33                  8.2678195754437345E-001                  2.1450986275242938E+000                  3.5096185281203125E+000                 -8.4226912870249162E+000                  2.8797260024097673E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                      34                  8.2677667732925808E-001                  2.1449939950299890E+000                  3.5106564207110544E+000                 -8.4165701074455139E+000                  2.8869458073126526E+000                  6.7865041387347880E-001                  3.0127511122485506E-001                  2.0074474901666139E-002 
                                      35                  8.2676890980134754E-001                  2.1448420937632671E+000                  3.5120717945389774E+000                 -8.4085376346974705E+000                  2.8964755809279552E+000                  6.7865041387347869E-001                  3.0127511122485512E-001                  2.0074474901666139E-002 
                                      36                  8.2675914387466398E-001                  2.1446543917398571E+000                  3.5133542967143763E+000                 -8.4015842124857816E+000                  2.9047852018831803E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
